"","Subject","stim","emotion","ief_c","THRESH_mean","THRESH_CI_2.5","THRESH_CI_97.5","THRESH_sd","SLOPE_mean","SLOPE_CI_2.5","SLOPE_CI_97.5","SLOPE_sd"
"1","s1","1113","happy",0.3436054,0.212534173964641,0.165756111175938,0.256637805319313,0.0231725328348727,5.19678207029158,3.94997900779165,6.69310098202953,0.695478513316247
"2","s1","1121","angry",-0.4286024,0.223128275160749,0.178456196342293,0.273429255838047,0.0242238404114324,5.53008116412169,4.08317818296537,7.22371115369093,0.795208589035526
"3","s1","1132","neutral",-0.4177518,0.21509277761514,0.182260345698456,0.247272285082184,0.0167796873100474,5.36741011002922,4.18021239730426,6.71246905963933,0.642639236699191
"4","s1","1143","happy",-0.2531828,0.22440726002316,0.181600516875184,0.267932310614937,0.0219427291747663,5.54777452985944,4.27926367119286,7.03423358733213,0.700629831373024
"5","s1","1151","angry",0.2785012,0.223286205437189,0.180606293294923,0.267788126860581,0.0220887354698326,5.28099627071772,3.91762483919723,6.8645251130647,0.752517502897155
"6","s1","1162","neutral",-0.9982638,0.221120788735649,0.186069211051933,0.256369425327712,0.0178265809716412,5.59141560875153,4.33588232030654,7.04350579691075,0.689841643189657
"7","s1","2113","happy",-0.1103154,0.221666336602875,0.182727160785058,0.261177428745461,0.020003569057066,5.46374910824745,4.22234576691726,6.94018045129292,0.688548509187895
"8","s1","2121","angry",0.1880788,0.223163800039542,0.184172840495761,0.265132645278288,0.0205565516488852,5.31284853941686,3.96940320129603,6.87858161984003,0.742827052636113
"9","s1","2132","neutral",-0.5425348,0.216408221499347,0.184168652288358,0.248126657927463,0.0164777817606234,5.41556084273942,4.21812043287228,6.7675645253905,0.649189495787879
"10","s1","2142","neutral",-1,0.221138476850118,0.186083889307384,0.256426651084257,0.0178380637316385,5.59208556621474,4.3353586133199,7.04489146799785,0.690043126306874
"11","s1","2151","angry",0.0958478,0.223072085654381,0.186340382304051,0.263423466076512,0.0195340929809922,5.34533790703363,4.01670809494869,6.91196865831481,0.737524277857701
"12","s1","2163","happy",0.410518,0.211125928190244,0.16111504450182,0.258371384353391,0.0248063998019324,5.15742837990347,3.8927343349926,6.66925720758628,0.702280685162679
"13","s2","1113","happy",0.5949798,0.000385174350312352,-0.191268493624159,0.125915151857908,0.0826082340483138,1.1772138132663,0.670350840157039,1.70904884196179,0.264752912022596
"14","s2","1121","angry",0.1916956,0.577029335699138,0.467725758170815,0.731030887927248,0.0685377153549619,1.41912598861744,0.888529551679445,1.98769501386651,0.280730342698053
"15","s2","1131","angry",-0.7179542,0.360522060298475,0.238652713693062,0.491646228399777,0.0641022030595824,2.02436937570316,1.14625408401201,3.06543973521171,0.487554080288158
"16","s2","1142","neutral",0.4484954,0.314280776523049,0.214878085475032,0.416949018585917,0.0502781778441834,1.38377211027693,0.906713280184421,1.89822250338188,0.251864760404484
"17","s2","1153","happy",0.6745516,-0.0337923713635115,-0.264191920834295,0.105707963502543,0.0981596793534484,1.150019226369,0.621366437106132,1.70086745614298,0.27425888526637
"18","s2","1162","neutral",0.426794,0.317414764080009,0.21918776241651,0.419047434783303,0.0496472093688904,1.38466583120834,0.910329728202123,1.895062581549,0.249873938031796
"19","s2","2112","neutral",0.4503038,0.314019399083554,0.214581896179072,0.416765869910729,0.0503324151510704,1.38369763559178,0.906640893054247,1.89856805341837,0.252035158649367
"20","s2","2121","angry",0.7179542,1.45959163086712,0.556642547645522,1.95059352186859,33.0491766395044,1.06897526297886,0.287063819482328,1.83455429628518,0.391922189047128
"21","s2","2133","happy",0.6184896,-0.00942204452974348,-0.213166495407148,0.1197895679063,0.0863759668455136,1.16917906604382,0.654611411251112,1.70392177917989,0.267169795711993
"22","s2","2141","angry",-0.0452112,0.503192193419579,0.408537578721777,0.620007705063948,0.053872569374834,1.57675398353992,1.0424381452851,2.16742748937282,0.29159798035451
"23","s2","2152","neutral",-0.9928386,0.530924434013037,0.364859485438897,0.821893281106384,0.135466620457511,1.44313004870249,0.739882809221197,2.1220149798588,0.351433974963881
"24","s2","2163","happy",0.6058304,-0.00411339764593403,-0.203210789868848,0.123517901997148,0.0842696552503204,1.17350549468374,0.665323547295175,1.70520258049463,0.265826377599777
"25","s3","1113","happy",0.6221064,0.25038508773378,0.181631180654837,0.314926664366542,0.0343749221347407,2.15735080979881,1.56069911446913,2.85036336348414,0.326714162131225
"26","s3","1122","neutral",0.1338252,0.400985523247556,0.341394617772369,0.465376800076346,0.0314529423045672,2.26786150423875,1.73744213851517,2.85806957755609,0.286146860385553
"27","s3","1133","happy",0.5732784,0.255943461373784,0.190085360252622,0.318586556132407,0.0330725515789064,2.18029412216661,1.59254280487827,2.86264986626077,0.321911354701327
"28","s3","1141","angry",0.5606192,0.641712349024508,0.542585558905898,0.779863860145255,0.0608002566888427,1.70329517965933,1.10809467359895,2.31082410359007,0.307223533106057
"29","s3","1151","angry",0.4376446,0.621469004678465,0.53235007768505,0.745943886094851,0.0537185747934174,1.75830920905483,1.18476696514995,2.34726744060366,0.297704381869809
"30","s3","1162","neutral",0.1501012,0.400628186049954,0.340769431323142,0.465238464778204,0.0316277184272436,2.26354057244352,1.7334195726825,2.85339617693268,0.285875058720145
"31","s3","2112","neutral",-0.1392506,0.40711585114512,0.346944949576447,0.473780710871332,0.0323339234651887,2.34035732057738,1.77840414438249,2.9648277407801,0.299740539354845
"32","s3","2123","happy",0.5624276,0.257163914460205,0.191319749395548,0.319922449632501,0.0328669303991461,2.18539269867682,1.60068410235249,2.86512150812971,0.320997721899736
"33","s3","2132","neutral",0.1754196,0.400074245337849,0.339814048719881,0.465479002722526,0.0319507757739628,2.25681907578806,1.72634975369438,2.84530746560243,0.285576744198427
"34","s3","2143","happy",0.6383826,0.248507362300259,0.178467421595416,0.314267165160665,0.0349428564833395,2.14970294503349,1.55043149095696,2.84430417390698,0.328560823923419
"35","s3","2151","angry",0.370732,0.61168210391331,0.520533123111473,0.737100570394296,0.0547437187674316,1.78824329091669,1.20803268250063,2.37347662324421,0.298089246759324
